Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=3000100, elapsed_secs=131, mean=0.655000, stdev=0.196150, best fit=0.750000,
indivs=3010100, elapsed_secs=132, mean=0.704167, stdev=0.143069, best fit=0.750000,
indivs=3020100, elapsed_secs=132, mean=0.669167, stdev=0.183127, best fit=0.750000,
indivs=3030100, elapsed_secs=133, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=3040100, elapsed_secs=133, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=3050100, elapsed_secs=133, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=3060100, elapsed_secs=134, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=3070100, elapsed_secs=134, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=3080100, elapsed_secs=135, mean=0.680000, stdev=0.169853, best fit=0.750000,
indivs=3090100, elapsed_secs=135, mean=0.690000, stdev=0.162481, best fit=0.750000,
